content	date	key
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":861671,""dimension_condition"":16,""coherence_condition"":80,""predictive_dim"":4,""predictive_idx"":11,""feature_positions"":""15_6_10_11_4_2_14_7_9_3_1_0_13_12_8_5"",""feature_dims"":""7_6_5_12_10_2_14_1_11_0_15_4_9_3_8_13"",""trial"":76,""block"":4,""block_trial"":16,""stim"":""0000000000000110"",""shuffled_stim"":""0000001000001000"",""label"":0,""rt"":2581,""button_value"":0,""completion_code"":36739}"	2017-08-11T13:58:03	4525859100688384
"{""age"":32,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":647052,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":8,""predictive_idx"":8,""feature_positions"":""5_9_3_6_4_1_2_8_0_7"",""feature_dims"":""15_0_5_2_1_3_7_4_8_13_14_12_6_10_9_11"",""trial"":34,""block"":2,""block_trial"":14,""stim"":""0000110000"",""shuffled_stim"":""1000100000"",""label"":0,""rt"":874,""button_value"":1,""completion_code"":31742}"	2017-08-11T15:32:31	4525941241937920
"{""age"":36,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":656820,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":5,""predictive_idx"":0,""feature_positions"":""0_3_2_1"",""feature_dims"":""5_7_3_1_10_6_14_13_2_9_15_11_4_12_0_8"",""trial"":86,""block"":5,""block_trial"":6,""stim"":""1011"",""shuffled_stim"":""1110"",""label"":1,""rt"":1285,""button_value"":1,""completion_code"":33260}"	2017-08-11T14:43:32	4526979818717184
"{""age"":34,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":917082,""dimension_condition"":10,""coherence_condition"":70,""predictive_dim"":12,""predictive_idx"":9,""feature_positions"":""2_8_9_5_6_4_3_7_1_0"",""feature_dims"":""9_4_13_8_11_10_7_6_5_12_14_1_0_3_15_2"",""trial"":40,""block"":2,""block_trial"":20,""stim"":""0101111010"",""shuffled_stim"":""0101111010"",""label"":1,""rt"":2137,""button_value"":0,""completion_code"":30226}"	2017-08-11T13:56:02	4527170407890944
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":691210,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":10,""predictive_idx"":1,""feature_positions"":""3_0_2_1"",""feature_dims"":""9_10_11_3_12_5_4_0_2_8_13_1_7_6_15_14"",""trial"":33,""block"":2,""block_trial"":13,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1448,""button_value"":1,""completion_code"":23242}"	2017-08-11T14:18:18	4528010610868224
"{""age"":26,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":153597,""dimension_condition"":10,""coherence_condition"":80,""predictive_dim"":2,""predictive_idx"":8,""feature_positions"":""8_7_9_1_3_4_2_5_0_6"",""feature_dims"":""6_5_8_7_0_13_10_1_2_12_9_11_3_14_15_4"",""trial"":96,""block"":5,""block_trial"":16,""stim"":""1111111100"",""shuffled_stim"":""0101111111"",""label"":1,""rt"":1046,""button_value"":1,""completion_code"":15647}"	2017-08-11T14:13:29	4528126843420672
"{""age"":29,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":426989,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":4,""predictive_idx"":1,""feature_positions"":""2_0_1_3"",""feature_dims"":""1_4_15_5_12_9_3_11_10_14_0_2_13_6_8_7"",""trial"":44,""block"":3,""block_trial"":4,""stim"":""1000"",""shuffled_stim"":""0100"",""label"":0,""rt"":4531,""button_value"":0,""completion_code"":14359}"	2017-08-11T13:57:35	4528935371014144
"{""age"":25,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":773914,""dimension_condition"":10,""coherence_condition"":90,""predictive_dim"":4,""predictive_idx"":6,""feature_positions"":""2_7_5_3_4_8_0_6_1_9"",""feature_dims"":""11_13_15_6_7_5_4_1_3_14_9_2_0_8_10_12"",""trial"":92,""block"":5,""block_trial"":12,""stim"":""1111111111"",""shuffled_stim"":""1111111111"",""label"":1,""rt"":1929,""button_value"":1,""completion_code"":65897}"	2017-08-11T15:16:28	4529677595049984
"{""age"":29,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":928354,""dimension_condition"":4,""coherence_condition"":70,""predictive_dim"":7,""predictive_idx"":1,""feature_positions"":""1_0_2_3"",""feature_dims"":""4_7_3_9_1_15_6_0_11_14_2_12_13_10_8_5"",""trial"":44,""block"":3,""block_trial"":4,""stim"":""0100"",""shuffled_stim"":""1000"",""label"":0,""rt"":932,""button_value"":1,""completion_code"":76596}"	2017-08-11T14:26:55	4529755172896768
"{""age"":37,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_two_no_timer"",""subject_ID"":232855,""dimension_condition"":4,""coherence_condition"":80,""predictive_dim"":3,""predictive_idx"":3,""feature_positions"":""2_3_1_0"",""feature_dims"":""7_1_2_3_13_6_4_9_11_0_12_14_5_15_8_10"",""trial"":14,""block"":1,""block_trial"":14,""stim"":""0000"",""shuffled_stim"":""0000"",""label"":0,""rt"":2002,""button_value"":0,""completion_code"":97593}"	2017-08-11T14:26:38	4530097696538624
