content	date	key
"{""age"":24,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":24779,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":14,""predictive_idx"":6,""feature_positions"":""9_5_3_2_8_6_0_1_4_7"",""feature_dims"":""13_11_12_4_8_2_14_3_6_9_15_10_5_1_7_0"",""trial"":96,""block"":5,""block_trial"":16,""stim"":""0011110111"",""shuffled_stim"":""1111100011"",""label"":0,""rt"":1253,""button_value"":1,""completion_code"":30535}"	2017-08-10T19:24:53	4524832871940096
"{""age"":31,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":496875,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":3,""predictive_idx"":1,""feature_positions"":""2_0_3_1"",""feature_dims"":""6_3_5_4_15_1_8_11_7_2_13_10_9_14_12_0"",""trial"":95,""block"":5,""block_trial"":15,""stim"":""0010"",""shuffled_stim"":""1000"",""label"":0,""rt"":1396,""button_value"":0,""completion_code"":38659}"	2017-08-10T18:56:14	4525859100688384
"{""age"":23,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":709551,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":8,""predictive_idx"":12,""feature_positions"":""1_13_2_4_11_5_14_7_15_12_3_9_0_6_8_10"",""feature_dims"":""11_4_2_13_14_3_9_6_1_0_15_7_8_5_12_10"",""trial"":53,""block"":3,""block_trial"":13,""stim"":""1010111010011100"",""shuffled_stim"":""0111110001001110"",""label"":1,""rt"":652,""button_value"":1,""completion_code"":91823}"	2017-08-10T19:00:46	4526052105781248
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":428483,""dimension_condition"":10,""structure_condition"":""family"",""predictive_dim"":9,""predictive_idx"":7,""feature_positions"":""3_1_4_2_8_9_6_0_5_7"",""feature_dims"":""4_8_14_2_10_3_1_9_12_6_0_7_13_15_5_11"",""trial"":45,""block"":3,""block_trial"":5,""stim"":""1111111111"",""shuffled_stim"":""1111111111"",""label"":1,""rt"":1109,""button_value"":1,""completion_code"":30035}"	2017-08-10T19:29:38	4526243768696832
"{""age"":30,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":282019,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":14,""predictive_idx"":7,""feature_positions"":""7_4_12_2_10_13_15_0_14_3_11_9_1_5_8_6"",""feature_dims"":""5_2_7_13_6_11_15_14_4_3_0_12_1_9_10_8"",""trial"":80,""block"":4,""block_trial"":20,""stim"":""0000000010000001"",""shuffled_stim"":""0000001000000010"",""label"":0,""rt"":1193,""button_value"":1,""completion_code"":88003}"	2017-08-10T19:09:48	4527487430164480
"{""age"":24,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":24779,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":14,""predictive_idx"":6,""feature_positions"":""9_5_3_2_8_6_0_1_4_7"",""feature_dims"":""13_11_12_4_8_2_14_3_6_9_15_10_5_1_7_0"",""trial"":40,""block"":2,""block_trial"":20,""stim"":""0100000111"",""shuffled_stim"":""1000100101"",""label"":0,""rt"":8700,""button_value"":0,""completion_code"":30535}"	2017-08-10T19:18:09	4527719089963008
"{""age"":28,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":608264,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":13,""predictive_idx"":5,""feature_positions"":""5_9_2_3_4_0_1_8_6_7"",""feature_dims"":""14_6_0_9_3_13_5_15_12_1_10_8_7_2_4_11"",""trial"":6,""block"":1,""block_trial"":6,""stim"":""0000110000"",""shuffled_stim"":""1000100000"",""label"":0,""rt"":2018,""button_value"":1,""completion_code"":92260}"	2017-08-10T19:17:02	4528010610868224
"{""age"":37,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":726387,""dimension_condition"":10,""structure_condition"":""rule"",""predictive_dim"":5,""predictive_idx"":5,""feature_positions"":""1_3_4_8_9_0_6_2_5_7"",""feature_dims"":""11_1_3_14_2_5_7_9_13_15_6_12_4_8_0_10"",""trial"":79,""block"":4,""block_trial"":19,""stim"":""1101011100"",""shuffled_stim"":""1100011011"",""label"":1,""rt"":1182,""button_value"":0,""completion_code"":63171}"	2017-08-10T19:04:34	4528339175866368
"{""age"":33,""gender"":""male"",""country"":""India"",""experiment"":""exp_one_no_timer"",""subject_ID"":13133,""dimension_condition"":16,""structure_condition"":""family"",""predictive_dim"":1,""predictive_idx"":15,""feature_positions"":""12_7_4_14_15_2_6_5_8_3_1_9_10_11_13_0"",""feature_dims"":""5_6_9_2_4_13_11_15_0_3_8_7_12_14_10_1"",""trial"":54,""block"":3,""block_trial"":14,""stim"":""1011111111111111"",""shuffled_stim"":""1111111111011111"",""label"":1,""rt"":507,""button_value"":0,""completion_code"":16426}"	2017-08-10T20:39:04	4528820749074432
"{""age"":28,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":829361,""dimension_condition"":16,""structure_condition"":""intermediate"",""predictive_dim"":13,""predictive_idx"":4,""feature_positions"":""4_3_5_12_0_1_15_11_8_7_14_6_13_10_2_9"",""feature_dims"":""3_11_15_0_13_12_5_9_4_14_2_1_6_7_8_10"",""trial"":25,""block"":2,""block_trial"":5,""stim"":""0111011011011100"",""shuffled_stim"":""0111010110011011"",""label"":1,""rt"":3986,""button_value"":1,""completion_code"":23132}"	2017-08-10T19:22:37	4529755172896768
"{""age"":28,""gender"":""male"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":323685,""dimension_condition"":4,""structure_condition"":""rule"",""predictive_dim"":2,""predictive_idx"":1,""feature_positions"":""1_0_2_3"",""feature_dims"":""12_2_0_8_15_10_14_7_13_6_11_1_4_3_9_5"",""trial"":92,""block"":5,""block_trial"":12,""stim"":""0010"",""shuffled_stim"":""0010"",""label"":1,""rt"":1357,""button_value"":0,""completion_code"":23606}"	2017-08-10T19:12:46	4530522764083200
"{""age"":54,""gender"":""female"",""country"":""United States of America"",""experiment"":""exp_one_no_timer"",""subject_ID"":5302,""dimension_condition"":4,""structure_condition"":""family"",""predictive_dim"":5,""predictive_idx"":3,""feature_positions"":""2_3_1_0"",""feature_dims"":""8_1_12_5_10_15_2_0_3_13_11_7_6_14_9_4"",""trial"":73,""block"":4,""block_trial"":13,""stim"":""1111"",""shuffled_stim"":""1111"",""label"":1,""rt"":1115,""button_value"":1,""completion_code"":15320}"	2017-08-10T19:14:53	4530967158980608
